window_id,method,n_true_nodes,candidate_pool_size,mrr,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10
141,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
141,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
142,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
142,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
142,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
142,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
143,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
143,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
143,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
143,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
144,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
144,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
144,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
144,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
145,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
145,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
145,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
145,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
146,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
146,pagerank,1,121,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
146,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
147,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
147,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
147,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
147,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
148,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
148,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
148,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
148,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
149,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
149,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
149,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
149,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
150,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
150,pagerank,1,121,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
150,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
151,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
151,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
151,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
151,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
152,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
152,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
152,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
152,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
153,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
153,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
153,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
153,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
154,degree,2,122,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,pagerank,2,122,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,classical_diffusion,2,122,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,quantum_inspired,2,122,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,degree,2,122,1.0,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0
155,pagerank,2,122,1.0,0.2,0.5,1.0,0.6131471927654584,0.1,0.5,1.0,0.6131471927654584
155,classical_diffusion,2,122,1.0,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0
155,quantum_inspired,2,122,1.0,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0
156,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
156,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
156,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
156,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
157,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
157,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
157,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
157,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
158,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
158,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
158,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
158,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
159,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
159,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
159,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
159,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
160,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
160,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
160,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
160,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
161,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
161,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
161,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
161,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
162,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
162,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
162,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
162,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
163,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
163,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
163,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
163,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
164,degree,2,122,1.0,0.2,0.5,1.0,0.6131471927654584,0.1,0.5,1.0,0.6131471927654584
164,pagerank,2,122,1.0,0.2,0.5,1.0,0.6131471927654584,0.1,0.5,1.0,0.6131471927654584
164,classical_diffusion,2,122,1.0,0.2,0.5,1.0,0.6131471927654584,0.1,0.5,1.0,0.6131471927654584
164,quantum_inspired,2,122,1.0,0.2,0.5,1.0,0.6131471927654584,0.1,0.5,1.0,0.6131471927654584
